Gesture,Samples,Imbalance,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC-AUC,Log Loss
Elbow Flex. Left,16068,2.76:1,99.81,99.81,99.81,99.81,1.0,0.0054
Elbow Flex. Right,21201,1.76:1,99.91,99.91,99.91,99.91,1.0,0.0066
Shoulder Flex. Left,44584,1.6:1,99.88,99.88,99.88,99.88,1.0,0.0043
Shoulder Flex. Right,38575,1.7:1,99.97,99.97,99.97,99.97,1.0,0.0011
Shoulder Abd. Left,23735,3.38:1,99.73,99.73,99.73,99.73,0.9999,0.0103
Shoulder Abd. Right,19959,3.67:1,99.92,99.92,99.92,99.92,1.0,0.004
Shoulder Fwd. Elev.,25295,2.69:1,99.66,99.66,99.66,99.66,0.9999,0.0114
Side Tap Left,19038,3.26:1,99.97,99.97,99.97,99.97,1.0,0.0032
Side Tap Right,19846,4.56:1,99.87,99.87,99.87,99.87,1.0,0.0043
